"src_ip",user,"failed_attempts","first_attempt","last_attempt"
"127.0.0.1",admin,12,"05/12/2026 11:22:19","05/12/2026 12:18:53"
"192.168.1.2",teste,6,"05/12/2026 13:38:52","05/12/2026 13:39:18"
